time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-28 00:00:00+00:00,2,2,7.0,3.0
2024-01-29 00:00:00+00:00,2,2,16.0,4.0
2024-01-30 00:00:00+00:00,25,9,241.0,9.0
2024-01-31 00:00:00+00:00,32,13,112.0,8.0
2024-02-01 00:00:00+00:00,18,6,81.0,10.0
2024-02-02 00:00:00+00:00,3,3,8.0,5.0
2024-02-03 00:00:00+00:00,3,3,13.0,2.0
2024-02-04 00:00:00+00:00,18,6,169.0,10.0
2024-02-05 00:00:00+00:00,64,20,185.0,10.0
2024-02-06 00:00:00+00:00,24,9,84.0,13.0
2024-02-07 00:00:00+00:00,29,12,64.0,9.0
2024-02-08 00:00:00+00:00,30,9,43.0,10.0
2024-02-09 00:00:00+00:00,5,3,9.0,1.0
2024-02-10 00:00:00+00:00,2,2,,
