url_path,views_total,views_unique
/att/qujata,14,12
/att/qujata/blob/9eb5db100dfdd13986d77f2f5d328e15b8dbf2c4/run/docker/docker-compose.yml,8,2
/att/qujata/blob/9eb5db100dfdd13986d77f2f5d328e15b8dbf2c4/curl/package.json,4,2
/att/qujata/tree/github-repo-stats/att/qujata/latest-report,4,1
/att/qujata/blob/main/api/config/mysql_config.py,3,1
/att/qujata/blob/main/api/main.py,3,1
/att/qujata/blob/main/api/requirements.txt,3,1
/att/qujata/branches,3,1
/att/qujata/tree/github-repo-stats/att/qujata,3,1
/att/qujata/tree/main/api,3,1
