time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-08 00:00:00+00:00,30.0,9.0,43.0,10.0
2024-02-09 00:00:00+00:00,5.0,3.0,9.0,1.0
2024-02-10 00:00:00+00:00,6.0,5.0,,
2024-02-11 00:00:00+00:00,20.0,8.0,580.0,9.0
2024-02-12 00:00:00+00:00,8.0,6.0,37.0,13.0
2024-02-13 00:00:00+00:00,2.0,2.0,39.0,7.0
2024-02-14 00:00:00+00:00,107.0,32.0,155.0,7.0
2024-02-15 00:00:00+00:00,20.0,9.0,68.0,10.0
2024-02-16 00:00:00+00:00,6.0,4.0,1.0,1.0
2024-02-17 00:00:00+00:00,3.0,3.0,16.0,4.0
2024-02-18 00:00:00+00:00,68.0,19.0,162.0,8.0
2024-02-19 00:00:00+00:00,4.0,4.0,82.0,10.0
2024-02-20 00:00:00+00:00,15.0,7.0,110.0,10.0
2024-02-21 00:00:00+00:00,,,20.0,7.0
