time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,64,20,185.0,10.0
2024-02-06 00:00:00+00:00,24,9,84.0,13.0
2024-02-07 00:00:00+00:00,29,12,64.0,9.0
2024-02-08 00:00:00+00:00,30,9,43.0,10.0
2024-02-09 00:00:00+00:00,5,3,9.0,1.0
2024-02-10 00:00:00+00:00,6,5,,
2024-02-11 00:00:00+00:00,20,8,580.0,9.0
2024-02-12 00:00:00+00:00,8,6,37.0,13.0
2024-02-13 00:00:00+00:00,2,2,39.0,7.0
2024-02-14 00:00:00+00:00,107,32,155.0,7.0
2024-02-15 00:00:00+00:00,20,9,68.0,10.0
2024-02-16 00:00:00+00:00,6,4,1.0,1.0
2024-02-17 00:00:00+00:00,3,3,16.0,4.0
2024-02-18 00:00:00+00:00,67,18,162.0,8.0
