time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-02 00:00:00+00:00,12,5,57.0,18.0
2024-01-03 00:00:00+00:00,12,5,78.0,10.0
2024-01-04 00:00:00+00:00,4,3,26.0,5.0
2024-01-05 00:00:00+00:00,3,3,,
2024-01-06 00:00:00+00:00,3,3,,
2024-01-07 00:00:00+00:00,5,3,47.0,6.0
2024-01-08 00:00:00+00:00,6,5,56.0,6.0
2024-01-09 00:00:00+00:00,3,3,55.0,5.0
2024-01-10 00:00:00+00:00,6,5,40.0,6.0
2024-01-11 00:00:00+00:00,4,4,38.0,6.0
2024-01-12 00:00:00+00:00,3,3,8.0,1.0
2024-01-13 00:00:00+00:00,3,3,18.0,1.0
2024-01-14 00:00:00+00:00,5,4,16.0,3.0
2024-01-15 00:00:00+00:00,7,7,71.0,6.0
