time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-27 00:00:00+00:00,7,4,110.0,4.0
2024-05-28 00:00:00+00:00,4,3,24.0,7.0
2024-05-29 00:00:00+00:00,10,4,82.0,5.0
2024-05-30 00:00:00+00:00,8,7,46.0,4.0
2024-05-31 00:00:00+00:00,3,2,31.0,2.0
2024-06-01 00:00:00+00:00,1,1,27.0,2.0
2024-06-02 00:00:00+00:00,8,5,,
2024-06-03 00:00:00+00:00,19,10,41.0,6.0
2024-06-04 00:00:00+00:00,4,3,41.0,6.0
2024-06-05 00:00:00+00:00,3,3,9.0,4.0
2024-06-06 00:00:00+00:00,7,3,65.0,7.0
2024-06-07 00:00:00+00:00,1,1,2.0,1.0
2024-06-08 00:00:00+00:00,8,4,1.0,1.0
