time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-02 00:00:00+00:00,8,5,,
2024-06-03 00:00:00+00:00,19,10,41.0,6.0
2024-06-04 00:00:00+00:00,4,3,41.0,6.0
2024-06-05 00:00:00+00:00,3,3,9.0,4.0
2024-06-06 00:00:00+00:00,7,3,65.0,7.0
2024-06-07 00:00:00+00:00,1,1,2.0,1.0
2024-06-08 00:00:00+00:00,8,4,1.0,1.0
2024-06-09 00:00:00+00:00,1,1,,
2024-06-10 00:00:00+00:00,6,3,36.0,4.0
2024-06-11 00:00:00+00:00,1,1,7.0,1.0
2024-06-12 00:00:00+00:00,7,7,10.0,3.0
2024-06-13 00:00:00+00:00,6,5,12.0,3.0
2024-06-14 00:00:00+00:00,4,2,14.0,4.0
2024-06-15 00:00:00+00:00,2,1,45.0,1.0
